,Institution Name,18-19,17-18,16-17,15-16,14-15,13-14,12-13,11-12,10-11,09-10
118,University of Florida,37.0,30.0,32.0,29.0,28.0,29.0,32.0,38.0,32.0,22.0
119,University of Georgia,32.0,21.0,18.0,20.0,20.0,20.0,18.0,21.0,20.0,17.0
120,University of Hawaii at Manoa,57.0,63.0,63.0,50.0,49.0,61.0,61.0,59.0,50.0,43.0
121,University of Houston,60.0,54.0,48.0,61.0,54.0,51.0,65.0,46.0,34.0,43.0
122,University of Idaho,90.0,88.0,88.0,89.0,74.0,78.0,65.0,67.0,38.0,65.0
123,University of Illinois Chicago,62.0,61.0,67.0,69.0,67.0,64.0,65.0,63.0,59.0,57.0
124,University of Illinois Urbana-Champaign,48.0,46.0,46.0,46.0,47.0,42.0,42.0,42.0,40.0,40.0
125,University of Iowa,57.0,75.0,76.0,75.0,65.0,59.0,55.0,50.0,50.0,55.0
126,University of Kansas,73.0,69.0,67.0,62.0,61.0,60.0,54.0,53.0,57.0,47.0
127,University of Kentucky,77.0,73.0,69.0,67.0,67.0,59.0,59.0,61.0,45.0,50.0
128,University of Louisiana at Lafayette,57.0,59.0,57.0,44.0,38.0,38.0,37.0,30.0,30.0,32.0
129,University of Louisville,80.0,69.0,61.0,59.0,55.0,56.0,58.0,54.0,55.0,51.0
130,University of Maine,99.0,99.0,99.0,87.0,86.0,78.0,71.0,70.0,67.0,58.0
131,University of Maryland Eastern Shore,54.0,48.0,32.0,25.0,31.0,37.0,43.0,38.0,30.0,27.0
132,University of Maryland-Baltimore County,76.0,77.0,44.0,42.0,47.0,46.0,50.0,41.0,38.0,50.0
133,University of Maryland-College Park,40.0,53.0,47.0,52.0,54.0,52.0,53.0,48.0,51.0,45.0
134,University of Massachusetts-Amherst,82.0,82.0,80.0,65.0,63.0,60.0,55.0,57.0,57.0,78.0
135,University of Massachusetts-Boston,75.0,74.0,69.0,66.0,59.0,58.0,54.0,59.0,53.0,80.0
136,University of Massachusetts-Dartmouth,93.0,77.0,73.0,68.0,69.0,68.0,62.0,64.0,64.0,91.0
137,University of Massachusetts-Lowell,77.0,78.0,76.0,59.0,59.0,59.0,62.0,60.0,60.0,90.0
138,University of Memphis,79.0,76.0,39.0,44.0,40.0,40.0,34.0,26.0,29.0,29.0
139,University of Michigan-Ann Arbor,52.0,49.0,51.0,49.0,47.0,47.0,46.0,48.0,47.0,44.0
140,University of Minnesota-Twin Cities,59.0,60.0,59.0,59.0,54.0,54.0,51.0,52.0,59.0,54.0
141,University of Mississippi,63.0,65.0,71.0,65.0,61.0,61.0,57.0,54.0,54.0,52.0
142,University of Missouri-Columbia,77.0,70.0,65.0,64.0,65.0,62.0,67.0,67.0,59.0,62.0
143,University of Missouri-Kansas City,73.0,75.0,71.0,69.0,73.0,75.0,74.0,66.0,69.0,70.0
144,University of Missouri-St Louis,92.0,87.0,83.0,85.0,84.0,88.0,84.0,79.0,72.0,65.0
145,University of Nebraska at Omaha,56.0,56.0,54.0,49.0,51.0,49.0,52.0,48.0,41.0,38.0
146,University of Nebraska-Lincoln,82.0,73.0,69.0,65.0,69.0,69.0,64.0,59.0,57.0,61.0
147,University of Nevada-Las Vegas,26.0,40.0,32.0,33.0,37.0,38.0,48.0,44.0,57.0,21.0
148,University of Nevada-Reno,50.0,49.0,44.0,47.0,50.0,45.0,53.0,55.0,60.0,72.0
149,University of New Hampshire-Main Campus,85.0,82.0,71.0,70.0,69.0,64.0,64.0,61.0,62.0,59.0
150,University of New Mexico-Main Campus,70.0,84.0,77.0,70.0,53.0,58.0,52.0,48.0,59.0,54.0
151,University of New Orleans,50.0,47.0,55.0,25.0,41.0,42.0,31.0,29.0,31.0,37.0
152,University of North Carolina at Chapel Hill,41.0,44.0,41.0,41.0,43.0,45.0,46.0,43.0,46.0,42.0
153,University of North Carolina at Charlotte,41.0,38.0,45.0,28.0,32.0,34.0,38.0,53.0,46.0,39.0
154,University of North Carolina at Greensboro,53.0,58.0,59.0,61.0,66.0,49.0,54.0,46.0,48.0,38.0
155,University of North Carolina Wilmington,41.0,48.0,39.0,50.0,47.0,43.0,43.0,44.0,37.0,30.0
156,University of North Dakota,66.0,60.0,59.0,54.0,44.0,30.0,48.0,48.0,48.0,46.0
157,University of North Texas,50.0,48.0,50.0,47.0,45.0,54.0,54.0,51.0,48.0,38.0
158,University of Oklahoma-Norman Campus,86.0,84.0,86.0,80.0,77.0,61.0,57.0,65.0,62.0,68.0
159,University of Oregon,59.0,64.0,52.0,60.0,58.0,56.0,48.0,55.0,52.0,52.0
160,University of Pittsburgh-Pittsburgh Campus,47.0,41.0,43.0,41.0,45.0,38.0,33.0,37.0,32.0,31.0
161,University of Puerto Rico-Rio Piedras,37.0,11.0,11.0,4.0,9.0,29.0,15.0,67.0,4.0,1.0
162,University of Rhode Island,86.0,87.0,86.0,84.0,84.0,83.0,79.0,78.0,64.0,67.0
163,University of South Alabama,70.0,68.0,61.0,57.0,58.0,59.0,54.0,51.0,53.0,47.0
164,University of South Carolina-Columbia,68.0,63.0,62.0,59.0,58.0,47.0,63.0,63.0,58.0,59.0
165,University of South Dakota,63.0,63.0,67.0,67.0,68.0,63.0,62.0,62.0,58.0,61.0
166,University of South Florida,65.0,63.0,62.0,69.0,72.0,73.0,70.0,64.0,53.0,58.0
167,University of Southern Mississippi,61.0,61.0,73.0,68.0,76.0,74.0,72.0,70.0,58.0,56.0
168,University of Toledo,88.0,86.0,92.0,92.0,89.0,85.0,86.0,71.0,87.0,87.0
169,University of Utah,70.0,70.0,71.0,72.0,59.0,41.0,35.0,40.0,35.0,36.0
170,University of Vermont,93.0,94.0,92.0,92.0,90.0,91.0,90.0,84.0,87.0,83.0
171,University of Virginia-Main Campus,35.0,36.0,31.0,31.0,27.0,29.0,26.0,28.0,27.0,25.0
172,University of Washington-Seattle Campus,40.0,46.0,39.0,38.0,35.0,34.0,31.0,26.0,27.0,17.0
173,University of Wisconsin-Madison,34.0,34.0,31.0,35.0,35.0,36.0,37.0,44.0,40.0,39.0
174,University of Wisconsin-Milwaukee,23.0,23.0,26.0,16.0,17.0,7.0,6.0,7.0,8.0,6.0
175,University of Wyoming,72.0,69.0,67.0,70.0,66.0,65.0,35.0,32.0,26.0,17.0
176,Utah State University,73.0,70.0,63.0,58.0,56.0,51.0,51.0,56.0,29.0,33.0
177,Virginia Commonwealth University,60.0,59.0,45.0,55.0,41.0,41.0,43.0,48.0,36.0,39.0
178,Virginia Polytechnic Institute and State University,36.0,40.0,36.0,38.0,38.0,39.0,37.0,34.0,38.0,37.0
179,Washington State University,74.0,72.0,76.0,72.0,59.0,51.0,49.0,50.0,58.0,56.0
180,Wayne State University,94.0,85.0,90.0,91.0,88.0,80.0,78.0,77.0,76.0,76.0
181,West Virginia University,76.0,69.0,68.0,66.0,59.0,57.0,60.0,61.0,56.0,53.0
182,Western Michigan University,49.0,50.0,48.0,41.0,53.0,49.0,60.0,58.0,60.0,56.0
183,Wichita State University,69.0,66.0,64.0,74.0,74.0,65.0,64.0,62.0,66.0,59.0
184,William & Mary,42.0,43.0,32.0,33.0,28.0,27.0,30.0,30.0,27.0,29.0
185,Wright State University-Main Campus,53.0,51.0,52.0,62.0,66.0,67.0,58.0,45.0,53.0,53.0
