,Institution Name,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
59,Oklahoma State University-Main Campus,41.0,39.0,38.0,39.0,34.0,34.0,33.0,34.0,34.0,32.0,31.0,29.0,27.0,27.0,25.0,24.0
60,Old Dominion University,29.0,27.0,27.0,26.0,26.0,24.0,23.0,25.0,23.0,25.0,23.0,22.0,23.0,23.0,22.0,21.0
61,Oregon State University,35.0,37.0,33.0,33.0,32.0,31.0,30.0,30.0,29.0,31.0,28.0,32.0,30.0,29.0,31.0,28.0
62,Pennsylvania State University-Main Campus,53.0,66.0,67.0,68.0,64.0,66.0,65.0,65.0,63.0,62.0,62.0,60.0,58.0,56.0,54.0,48.0
63,Portland State University,22.0,21.0,21.0,21.0,19.0,17.0,18.0,16.0,14.0,14.0,13.0,13.0,13.0,15.0,13.0,13.0
64,Purdue University-Main Campus,58.0,55.0,51.0,49.0,47.0,45.0,42.0,39.0,38.0,38.0,38.0,38.0,36.0,37.0,32.0,31.0
65,Rowan University,49.0,49.0,48.0,48.0,43.0,43.0,46.0,12.0,62.0,44.0,47.0,43.0,39.0,42.0,39.0,37.0
66,Rutgers University-Camden,34.0,31.0,25.0,27.0,26.0,23.0,27.0,32.0,30.0,32.0,30.0,29.0,26.0,25.0,26.0,22.0
67,Rutgers University-New Brunswick,65.0,61.0,60.0,59.0,58.0,59.0,57.0,57.0,53.0,53.0,52.0,49.0,48.0,47.0,43.0,46.0
68,Rutgers University-Newark,40.0,34.0,37.0,34.0,33.0,37.0,32.0,32.0,36.0,30.0,34.0,26.0,25.0,26.0,22.0,25.0
69,San Diego State University,39.0,36.0,36.0,34.0,30.0,29.0,33.0,32.0,29.0,30.0,28.0,24.0,20.0,17.0,14.0,10.0
70,South Dakota State University,36.0,36.0,31.0,29.0,30.0,29.0,27.0,27.0,31.0,25.0,22.0,21.0,22.0,24.0,24.0,26.0
71,Southern Illinois University-Carbondale,32.0,26.0,23.0,27.0,26.0,25.0,23.0,26.0,24.0,26.0,24.0,24.0,24.0,21.0,19.0,21.0
72,Stony Brook University,59.0,55.0,53.0,52.0,47.0,48.0,45.0,47.0,45.0,43.0,45.0,40.0,39.0,38.0,38.0,37.0
73,SUNY at Albany,56.0,55.0,56.0,56.0,59.0,54.0,56.0,53.0,52.0,55.0,53.0,51.0,50.0,51.0,49.0,50.0
74,SUNY College of Environmental Science and Forestry,64.0,65.0,67.0,60.0,59.0,47.0,51.0,44.0,49.0,41.0,47.0,54.0,40.0,40.0,44.0,41.0
75,Temple University,52.0,49.0,45.0,45.0,43.0,41.0,39.0,36.0,36.0,36.0,38.0,36.0,31.0,29.0,27.0,26.0
76,Tennessee State University,13.0,0.0,13.0,18.0,16.0,10.0,8.0,10.0,9.0,10.0,13.0,12.0,22.0,22.0,27.0,0.0
77,Tennessee Technological University,31.0,29.0,25.0,25.0,25.0,23.0,22.0,20.0,23.0,21.0,22.0,18.0,18.0,18.0,6.0,12.0
78,Texas A & M University-College Station,55.0,55.0,54.0,52.0,51.0,50.0,49.0,49.0,50.0,46.0,45.0,41.0,38.0,37.0,35.0,32.0
79,Texas A & M University-Corpus Christi,19.0,17.0,18.0,18.0,19.0,20.0,24.0,20.0,21.0,17.0,19.0,18.0,16.0,20.0,18.0,20.0
80,Texas A & M University-Kingsville,21.0,20.0,19.0,15.0,17.0,17.0,18.0,13.0,14.0,11.0,7.0,14.0,8.0,10.0,7.0,8.0
81,Texas Southern University,10.0,7.0,8.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,4.0,5.0,0.0,3.0,3.0,4.0
82,Texas State University,29.0,29.0,27.0,27.0,26.0,27.0,30.0,27.0,27.0,25.0,24.0,22.0,22.0,21.0,21.0,18.0
83,Texas Tech University,36.0,34.0,35.0,34.0,35.0,33.0,33.0,37.0,35.0,37.0,32.0,30.0,28.0,25.0,23.0,26.0
84,The Pennsylvania State University,,,,,,,,,,,,,,,,
85,The University of Alabama,50.0,50.0,44.0,44.0,41.0,39.0,43.0,41.0,38.0,38.0,38.0,36.0,39.0,36.0,35.0,33.0
86,The University of Montana,30.0,27.0,29.0,25.0,24.0,25.0,24.0,23.0,21.0,20.0,20.0,17.0,19.0,20.0,20.0,19.0
87,The University of Tennessee-Knoxville,52.0,49.0,46.0,43.0,43.0,39.0,37.0,36.0,34.0,31.0,31.0,30.0,29.0,31.0,29.0,27.0
88,The University of Texas at Arlington,26.0,23.0,22.0,21.0,21.0,18.0,17.0,17.0,17.0,16.0,15.0,13.0,15.0,14.0,15.0,12.0
89,The University of Texas at Austin,66.0,61.0,58.0,55.0,52.0,52.0,51.0,51.0,53.0,53.0,51.0,48.0,47.0,46.0,42.0,39.0
90,The University of Texas at Dallas,52.0,54.0,52.0,51.0,48.0,51.0,46.0,45.0,41.0,42.0,43.0,36.0,31.0,31.0,30.0,38.0
91,The University of Texas at El Paso,13.0,15.0,14.0,15.0,12.0,12.0,12.0,11.0,10.0,8.0,5.0,4.0,4.0,4.0,5.0,4.0
92,The University of Texas at San Antonio,22.0,18.0,15.0,13.0,11.0,11.0,10.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0
93,The University of Texas Rio Grande Valley,22.0,21.0,22.0,19.0,17.0,17.0,16.0,18.0,17.0,13.0,14.0,13.0,10.0,11.0,8.0,0.0
94,University at Buffalo,59.0,60.0,57.0,58.0,55.0,53.0,52.0,44.0,47.0,43.0,42.0,40.0,39.0,36.0,35.0,34.0
95,University of Akron Main Campus,25.0,19.0,17.0,16.0,13.0,14.0,16.0,15.0,14.0,14.0,11.0,12.0,11.0,13.0,10.0,13.0
96,University of Alabama at Birmingham,40.0,35.0,32.0,30.0,32.0,33.0,29.0,25.0,23.0,19.0,17.0,16.0,14.0,14.0,14.0,15.0
97,University of Alabama in Huntsville,27.0,22.0,23.0,15.0,18.0,15.0,16.0,16.0,14.0,13.0,17.0,17.0,14.0,15.0,14.0,14.0
98,University of Alaska Fairbanks,25.0,20.0,20.0,15.0,15.0,15.0,14.0,12.0,11.0,10.0,12.0,10.0,9.0,9.0,5.0,8.0
99,University of Arizona,47.0,47.0,45.0,42.0,43.0,40.0,40.0,36.0,36.0,34.0,32.0,32.0,33.0,30.0,32.0,31.0
100,University of Arkansas,49.0,47.0,42.0,42.0,39.0,37.0,37.0,35.0,34.0,35.0,34.0,33.0,33.0,30.0,30.0,27.0
101,University of Arkansas at Little Rock,25.0,20.0,14.0,12.0,11.0,8.0,7.0,7.0,8.0,7.0,4.0,10.0,8.0,9.0,6.0,11.0
102,University of California-Berkeley,76.0,74.0,76.0,76.0,73.0,72.0,72.0,68.0,71.0,69.0,66.0,64.0,61.0,61.0,58.0,53.0
103,University of California-Davis,63.0,61.0,58.0,55.0,58.0,53.0,51.0,52.0,51.0,51.0,50.0,47.0,43.0,43.0,42.0,44.0
104,University of California-Irvine,69.0,68.0,70.0,71.0,72.0,68.0,68.0,66.0,65.0,60.0,58.0,60.0,51.0,51.0,42.0,41.0
105,University of California-Los Angeles,80.0,77.0,75.0,74.0,74.0,72.0,69.0,71.0,68.0,68.0,67.0,65.0,66.0,59.0,57.0,57.0
106,University of California-Merced,45.0,38.0,33.0,38.0,5.0,34.0,27.0,30.0,33.0,,,,,,,
