,Institution Name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
167,University of Southern Mississippi,75.0,68.0,72.0,71.0,74.0,73.0,74.0,72.0,75.0,72.0,77.0,74.0,72.0,73.0,73.0,75.0,75.0,71.0
168,University of Toledo,78.0,76.0,76.0,74.0,74.0,72.0,70.0,68.0,62.0,65.0,65.0,68.0,70.0,68.0,69.0,69.0,66.0,
169,University of Utah,89.0,89.0,89.0,90.0,90.0,89.0,89.0,88.0,88.0,87.0,85.0,85.0,83.0,80.0,77.0,83.0,85.0,80.0
170,University of Vermont,85.0,87.0,87.0,86.0,87.0,86.0,87.0,86.0,85.0,85.0,87.0,85.0,86.0,86.0,84.0,88.0,84.0,83.0
171,University of Virginia-Main Campus,97.0,97.0,97.0,96.0,96.0,97.0,97.0,97.0,98.0,97.0,96.0,97.0,97.0,97.0,97.0,97.0,96.0,97.0
172,University of Washington-Seattle Campus,93.0,95.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,93.0,92.0,92.0,92.0,93.0,92.0,90.0
173,University of Wisconsin-Madison,95.0,95.0,95.0,95.0,95.0,96.0,95.0,95.0,95.0,94.0,95.0,94.0,94.0,93.0,93.0,94.0,92.0,
174,University of Wisconsin-Milwaukee,75.0,76.0,73.0,74.0,72.0,72.0,70.0,70.0,69.0,70.0,73.0,73.0,69.0,72.0,70.0,73.0,73.0,
175,University of Wyoming,80.0,76.0,78.0,78.0,77.0,77.0,76.0,74.0,76.0,74.0,74.0,72.0,72.0,74.0,75.0,74.0,77.0,75.0
176,Utah State University,73.0,74.0,73.0,69.0,73.0,71.0,71.0,66.0,72.0,72.0,72.0,74.0,73.0,74.0,72.0,70.0,73.0,75.0
177,Virginia Commonwealth University,83.0,83.0,85.0,83.0,86.0,86.0,86.0,87.0,85.0,86.0,85.0,83.0,85.0,82.0,81.0,80.0,79.0,
178,Virginia Polytechnic Institute and State University,93.0,93.0,93.0,93.0,93.0,94.0,93.0,91.0,92.0,91.0,92.0,91.0,91.0,93.0,89.0,88.0,87.0,87.0
179,Washington State University,81.0,79.0,79.0,81.0,79.0,78.0,80.0,80.0,82.0,84.0,82.0,84.0,82.0,84.0,82.0,85.0,84.0,85.0
180,Wayne State University,82.0,79.0,79.0,81.0,82.0,77.0,76.0,77.0,75.0,77.0,77.0,76.0,70.0,69.0,69.0,71.0,74.0,
181,West Virginia University,82.0,79.0,76.0,80.0,79.0,79.0,77.0,77.0,77.0,78.0,80.0,80.0,81.0,79.0,81.0,80.0,80.0,
182,Western Michigan University,78.0,78.0,80.0,78.0,79.0,79.0,78.0,74.0,73.0,74.0,76.0,72.0,73.0,75.0,74.0,73.0,75.0,76.0
183,Wichita State University,71.0,69.0,73.0,73.0,72.0,72.0,75.0,74.0,70.0,73.0,70.0,70.0,72.0,67.0,70.0,69.0,67.0,71.0
184,William & Mary,93.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,95.0,95.0,95.0,96.0,95.0,96.0,95.0,95.0,94.0
185,Wright State University-Main Campus,65.0,62.0,64.0,65.0,66.0,67.0,66.0,62.0,56.0,62.0,71.0,70.0,97.0,66.0,68.0,73.0,71.0,67.0
