,Institution Name,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
37,Kent State University at Kent,61.0,59.0,57.0,55.0,56.0,55.0,52.0,52.0,50.0,50.0,49.0,49.0,51.0,47.0,46.0,49.0
38,Louisiana State University and Agricultural & Mechanical College,65.0,64.0,64.0,65.0,65.0,65.0,67.0,65.0,60.0,59.0,59.0,59.0,58.0,57.0,57.0,56.0
39,Louisiana Tech University,60.0,53.0,54.0,53.0,53.0,54.0,50.0,47.0,49.0,49.0,46.0,48.0,48.0,49.0,49.0,51.0
40,Marshall University,49.0,46.0,49.0,45.0,45.0,45.0,45.0,44.0,44.0,46.0,46.0,44.0,40.0,47.0,42.0,39.0
41,Miami University-Oxford,81.0,80.0,79.0,78.0,80.0,79.0,81.0,80.0,81.0,80.0,83.0,81.0,80.0,81.0,80.0,80.0
42,Michigan State University,81.0,80.0,79.0,78.0,77.0,79.0,78.0,79.0,77.0,77.0,77.0,75.0,74.0,74.0,74.0,71.0
43,Michigan Technological University,70.0,68.0,67.0,67.0,65.0,64.0,66.0,66.0,65.0,66.0,66.0,65.0,64.0,61.0,59.0,63.0
44,Mississippi State University,61.0,58.0,58.0,60.0,60.0,60.0,61.0,58.0,60.0,58.0,61.0,60.0,58.0,58.0,56.0,58.0
45,Missouri University of Science and Technology,66.0,63.0,64.0,64.0,65.0,63.0,63.0,65.0,67.0,66.0,63.0,61.0,61.0,63.0,64.0,64.0
46,Montana State University,56.0,57.0,54.0,53.0,52.0,50.0,49.0,49.0,51.0,47.0,52.0,48.0,48.0,50.0,47.0,47.0
47,Montclair State University,67.0,71.0,65.0,65.0,66.0,64.0,63.0,63.0,62.0,62.0,62.0,62.0,61.0,59.0,58.0,57.0
48,Morgan State University,43.0,39.0,38.0,32.0,30.0,32.0,34.0,29.0,28.0,32.0,32.0,32.0,38.0,40.0,42.0,39.0
49,New Jersey Institute of Technology,67.0,65.0,64.0,61.0,61.0,59.0,58.0,54.0,54.0,55.0,55.0,55.0,51.0,54.0,54.0,53.0
50,New Mexico State University-Main Campus,48.0,47.0,46.0,45.0,43.0,46.0,43.0,44.0,46.0,45.0,45.0,43.0,45.0,37.0,42.0,43.0
51,North Carolina A & T State University,51.0,53.0,43.0,43.0,44.0,48.0,43.0,43.0,41.0,38.0,37.0,38.0,41.0,38.0,40.0,43.0
52,North Carolina State University at Raleigh,83.0,81.0,79.0,78.0,76.0,76.0,74.0,71.0,72.0,73.0,73.0,72.0,70.0,70.0,71.0,67.0
53,North Dakota State University-Main Campus,60.0,58.0,58.0,55.0,54.0,56.0,53.0,53.0,54.0,51.0,52.0,47.0,47.0,51.0,55.0,52.0
